Smiles	Solvents
O	WATER
O=CN	FORMAMIDE
CO	METHANOL
CNC=O	N-METHYLFORMAMIDE
OCCOCCO	DIETHYLENE_GLYCOL
OCCOCCOCCO	TRIETHYLENE_GLYCOL
OCCOCCOCCOCCO	TETRAETHYLENE_GLYCOL
COCCO	2-METHOXYETHANOL
OCC	ETHANOL
OCCN	MONOETHANOLAMINE
OC(C)=O	ACETIC_ACID
OCCC	1-PROPANOL
OCc1ccccc1	BENZYL_ALCOHOL
OCCCC	1-BUTANOL
OCCCCC	1-PENTANOL
OCCC(C)C	3-METHYL-1-BUTANOL
OCC(C)C	2-METHYL-1-PROPANOL
OC(C)C	ISOPROPANOL
OC1CCCCC1	CYCLOHEXANOL
CCC(O)C	2-BUTANOL
CCCC(O)C	2-PENTANOL
CN(=O)=O	NITROMETHANE
CC1OC(OC1)=O	PROPYLENE_CARBONATE
CCC(O)CC	3-PENTANOL
CC#N	ACETONITRILE
CS(C)=O	DIMETHYL_SULFOXIDE
Nc1ccccc1	ANILINE
O=S1(CCCC1)=O	SULFOLANE
CC(OC(C)=O)=O	ACETIC_ANHYDRIDE
CCC#N	PROPIONITRILE
OC(C)(C)C	2-METHYL-2-PROPANOL
CN(C)C=O	N,N-DIMETHYLFORMAMIDE
CN(C)C(C)=O	N,N-DIMETHYLACETAMIDE
CN1CCN(C1=O)C	1,3-Dimethylimidazolidin-2-one
CN1CCCC1=O	N-METHYL-2-PYRROLIDONE
CC(C)=O	ACETONE
CN1CCCN(C1=O)C	N,N'-Dimethylpropylene_urea_<DMPU>
NCCN	ETHYLENEDIAMINE
N#Cc1ccccc1	BENZONITRILE
ClCCCl	1,2-DICHLOROETHANE
CCC(C)=O	METHYL_ETHYL_KETONE
O=N(c1ccccc1)=O	NITROBENZENE
CCCC(C)=O	2-PENTANONE
CCC(O)(C)C	2-METHYL-2-BUTANOL
O1CCNCC1	MORPHOLINE
CN(C)C(=O)N(C)C	1,1,3,3-Tetramethyl_urea
CN(C)P(=O)(N(C)C)N(C)C	HEXAMETHYL_PHOSPHORAMIDE
CC(C)C(C)=O	METHYL_ISOPROPYL_KETONE
ClCCl	DICHLOROMETHANE
CC(=O)c1ccccc1	ACETOPHENONE
n1ccccc1	PYRIDINE
O=C1CCCCC1	CYCLOHEXANONE
CC(C)CC(C)=O	METHYL_ISOBUTYL_KETONE
CC(Cl)Cl	1,1-DICHLOROETHANE
c2nc1ccccc1cc2	QUINOLINE
CCC(CC)=O	3-PENTANONE
ClC(Cl)Cl	CHLOROFORM
CC(C)(C)C(C)=O	3,3-DIMETHYL-2-BUTANONE
COC(C)=O	METHYL_ACETATE
COCCOCCOCCOC	TRIETHYLENE_GLYCOL_DIMETHYL_ETHER
CC(C)C(C(C)C)=O	DIISOPROPYL_KETONE
COCCOCCOC	DIETHYLENE_GLYCOL_DIMETHYL_ETHER
COCCOC	1,2-DIMETHOXYETHANE
CCOC(C)=O	ETHYL_ACETATE
Clc1ccccc1Cl	O-DICHLOROBENZENE
CC(C)CC(CC(C)C)=O	DIISOBUTYL_KETONE
CCOCCOCCOCC	DIETHYLENE_GLYCOL_DIETHYL_ETHER
O1CCCC1	TETRAHYDROFURAN
COc1ccccc1	ANISOLE
Fc1ccccc1	FLUOROBENZENE
ClC(Cl)=C	1,1-DICHLOROETHYLENE
Clc1ccccc1	MONOCHLOROBENZENE
CCOC(OCC)=O	DIETHYL_CARBONATE
Brc1ccccc1	BROMOBENZENE
CCOc1ccccc1	PHENETOLE
Ic1ccccc1	IODOBENZENE
CC(Cl)(Cl)Cl	1,1,2-TRICHLOROETHANE
C1OCCOC1	1,4-DIOXANE
ClC=C(Cl)Cl	TRICHLOROETHYLENE
N1CCCCC1	PIPERIDINE
CCNCC	DIETHYLAMINE
O(c2ccccc2)c1ccccc1	DIPHENYL_ETHER
C(C)(C)(C)OC	METHYL_TERT-BUTYL_ETHER
CCOCC	DIETHYL_ETHER
c1ccccc1	BENZENE
CCCOCCC	DI-N-PROPYL_ETHER
Cc1ccccc1	TOLUENE
Cc1ccc(C)cc1	P-XYLENE
CCCCOCCCC	DI-N-BUTYL_ETHER
S=C=S	CARBON_DISULFIDE
ClC(Cl)(Cl)Cl	CARBON_TETRACHLORIDE
CCN(CC)CC	TRIETHYLAMINE
CCCCN(CCCC)CCCC	Tributylamine
C(CCC1CC2)CC1CC2	CIS-DECAHYDRONAPHTHALENE
CCCCCCC	N-HEPTANE
CCCCCC	N-HEXANE
CCCCC	N-PENTANE
C1CCCCC1	CYCLOHEXANE
ClC=CCl	TRANS-1,2-DICHLOROETHYLENE
OCCOCC	2-ETHOXYETHANOL
CC1CCCCC1	METHYLCYCLOHEXANE
CC(=O)CCCC	2-HEXANONE
C1(=CC=CC=C1C)C	O-XYLENE
CC(C)c1ccccc1	CUMENE
C(CCc1cc2)Cc1cc2	1,2,3,4-TETRAHYDRONAPHTHALENE
OC=O	FORMIC_ACID
CCOC=O	ETHYL_FORMATE
CCCOC(C)=O	N-PROPYL_ACETATE
CC(C)OC(C)=O	ISOPROPYL_ACETATE
CCCCOC(C)=O	N-BUTYL_ACETATE
CC(C)COC(C)=O	ISOBUTYL_ACETATE
ClC(Cl)=C	1,1-DICHLOROETHYLENE
ClCCCl	CIS-1,2-DICHLOROETHYLENE
CC(Cl)(Cl)Cl	1,1,1-TRICHLOROETHANE
CCCCCCC	N-HEPTANE
